Model,MAE,RMSE,R2
VAR_Hybrid_insei_mdeberta_final,0.34775399687578296,0.4947937012682,0.01991083164827745
VAR_Hybrid_insei_gemini_final,0.3490167790223777,0.49564936105156154,0.016518112583178146
VAR_Hybrid_insei_indolem_final,0.3481019972487251,0.49597357324787,0.015231069231591343
VAR_Hybrid_insei_indobert_final,0.34938555591719106,0.49844521085590715,0.005391606643546987
VAR_Baseline_AR_Only,0.34990256306805506,0.5002172354018488,-0.0016928364650703465
LSTM_Baseline_AR_Only,0.3516741804643111,0.5007814183930668,-0.003953681248312302
LSTM_Hybrid_insei_indolem_final,0.3537060503526167,0.5023716854387775,-0.010340058147066955
LSTM_Hybrid_insei_indobert_final,0.3550693986632607,0.5034830821663083,-0.014815353033277967
LSTM_Hybrid_insei_gemini_final,0.3555497071959755,0.5043201053362693,-0.018192348458862417
LSTM_Hybrid_insei_mdeberta_final,0.3571921905604276,0.5068081659457355,-0.028263623901734203
Ridge_Hybrid_insei_indolem_final,0.591382999570504,0.7162970116583649,-0.05875336386799224
Ridge_Hybrid_insei_mdeberta_final,0.5883803456460245,0.7184525266611619,-0.06513505334363923
Ridge_Hybrid_insei_gemini_final,0.6027764527053658,0.731996578441313,-0.1056728018872728
Ridge_Hybrid_insei_indobert_final,0.6083030229422264,0.7365032281060668,-0.11932920150194737
Ridge_Baseline_AR_Only,0.6197442319292028,0.7509149434602401,-0.1635633104459382
